topic;question;correct;wrong1;wrong2;wrong3;wrong4;wrong5;wrong6;wrong7
биография;В каком году родился Арсен Маркарян;1995;1991;1992;1993;1994;1996;1997;1998
биография;Какого числа родился Арсен Маркарян;21 марта;21 мая;12 марта;3 апреля;15 июня;21 января;30 марта;7 сентября
биография;В каком городе родился Арсен Маркарян;Самара;Москва;Ереван;Ростов-на-Дону;Краснодар;Сочи;Волгоград;Саратов
биография;Кем работал отец Маркаряна;Строителем;Учителем;Врачом;Военным;Тренером;Инженером;Водителем;Поваром
биография;Что преподавала мать Маркаряна;Армянский язык;Математику;Русский язык;Историю;Физику;Музыку;Химию;Биологию
биография;Сколько примерно весил Маркарян в одиннадцать лет;Около 100 кг;Около 40 кг;Около 55 кг;Около 70 кг;Около 85 кг;Около 130 кг;Около 150 кг;Около 60 кг
биография;Вице-чемпионство мира по какому единоборству Маркарян себе приписывает;Муай-тай;Бокс;Дзюдо;Самбо;Карате;Вольная борьба;Тхэквондо;Кикбоксинг
биография;В каком году, по его собственным словам, Маркарян стал вице-чемпионом мира;2011;2008;2009;2010;2012;2013;2014;2015
блог;С какой темы Маркарян начал вести блог в 2014 году;Сыроедение;Криптовалюты;Автомобили;Бодибилдинг;Психология;Путешествия;Бизнес;Программирование
блог;В каком году Маркарян завёл YouTube-канал;2016;2013;2014;2015;2017;2018;2019;2020
блог;Сколько подписчиков было на его YouTube-канале в марте 2026 года;217 тысяч;50 тысяч;80 тысяч;120 тысяч;350 тысяч;500 тысяч;700 тысяч;1 миллион
блог;Как называется его курс о повышении тестостерона;Testosterone Release;Testosterone Boost;Alpha Protocol;Iron Blood;Man Code;Testo Max;Hormone Reset;Primal Drive
блог;Как называется его вебинар 2017 года о женских манипуляциях;Шлюхоброня 2.0;Мужской код 2.0;Альфа-протокол;Броня характера;Антиманипулятор;Женский вопрос;Мужской путь;Щит разума
взгляды;Как охарактеризованы взгляды Маркаряна в Википедии;Пацанское гедонистическое ницшеанство;Религиозный консерватизм;Либеральный гуманизм;Академический стоицизм;Технократический утопизм;Марксистский феминизм;Классический анархизм;Научный позитивизм
взгляды;Какую разницу в IQ между мужчинами и женщинами он утверждает;2-3-5 пунктов;1 пункт;7-8 пунктов;10-15 пунктов;20 пунктов;30 пунктов;50 пунктов;100 пунктов
взгляды;Кем Маркарян обещал стать к концу 2024 года;Долларовым миллиардером;Депутатом;Чемпионом мира;Ректором университета;Губернатором;Олимпийским чемпионом;Академиком;Министром
дело;По какому обвинению Маркаряна задержали в августе 2025 года;Реабилитация нацизма;Мошенничество;Клевета;Уклонение от налогов;Хулиганство;Незаконное предпринимательство;Оскорбление чувств верующих;Разглашение тайны
дело;Какой суд избрал Маркаряну меру пресечения в августе 2025 года;Таганский районный суд Москвы;Басманный районный суд Москвы;Пресненский районный суд Москвы;Хамовнический районный суд Москвы;Тверской районный суд Москвы;Самарский районный суд;Мосгорсуд;Верховный суд
дело;По какой статье УК РФ Маркаряна заключили под стражу;Часть 4 статьи 354.1;Часть 2 статьи 282;Часть 1 статьи 128.1;Часть 3 статьи 159;Часть 2 статьи 205.2;Часть 1 статьи 213;Часть 2 статьи 280;Часть 4 статьи 111
дело;На сколько его оштрафовали в ноябре 2025 года за пропаганду психотропных веществ;15 тысяч рублей;1 тысячу рублей;5 тысяч рублей;10 тысяч рублей;30 тысяч рублей;50 тысяч рублей;100 тысяч рублей;200 тысяч рублей
дело;Какой срок Маркарян получил в марте 2026 года;4,5 года;1,5 года;2 года;3 года;5 лет;6 лет;7 лет;8 лет
дело;Что решил апелляционный суд в июне 2026 года;Оставил приговор без изменений;Отменил приговор;Смягчил срок вдвое;Увеличил срок;Отправил дело на новое рассмотрение;Заменил срок штрафом;Освободил в зале суда;Прекратил дело
