topic;question;correct;wrong1;wrong2;wrong3;wrong4;wrong5;wrong6;wrong7
термины;Что в лукмаксинге называют мьюингом;Технику постоянного положения языка у нёба;Упражнения с жевательной резинкой;Диету без сахара;Массаж лица роликом;Приём витамина D;Тренировку шеи;Уход за кожей кислотами;Сон на спине
термины;Что означает термин «кантальный наклон»;Наклон линии между уголками глаза;Угол нижней челюсти;Ширину скул;Высоту лба;Форму носа;Положение ушей;Длину подбородка;Толщину губ
термины;Что в этой среде называют «hunter eyes»;Глубоко посаженные глаза с нависшим веком;Широко раскрытые круглые глаза;Глаза с опущенными уголками;Раскосые глаза;Глаза разного цвета;Близко посаженные глаза;Глаза с длинными ресницами;Выпуклые глаза
термины;Что такое гониальный угол;Угол нижней челюсти;Угол между носом и лбом;Наклон подбородка;Угол глазной щели;Ширину челюсти;Изгиб бровей;Угол скулы;Наклон шеи
термины;Что означает «софтмаксинг»;Улучшение внешности без операций;Пластическую хирургию;Полный отказ от улучшений;Смену гардероба на дорогой;Набор мышечной массы;Отбеливание зубов;Пересадку волос;Курс гормонов
термины;Что означает «хардмаксинг»;Изменение внешности хирургией;Уход за кожей;Спорт и питание;Смену причёски;Работу над осанкой;Изучение стиля;Отбеливание зубов;Массаж лица
термины;Что в сленге значит «моггинг»;Заметно превосходить кого-то внешне;Копировать чужой стиль;Скрывать недостатки;Фотографироваться в выгодном ракурсе;Худеть перед съёмкой;Менять причёску;Ретушировать фото;Носить каблуки
термины;Что означает «линмаксинг»;Снижение процента жира ради рельефа лица;Набор веса;Увеличение роста;Осветление кожи;Наращивание волос;Отказ от спорта;Увеличение мышц рук;Переход на фастфуд
термины;Что означает «балкинг»;Набор массы на избытке калорий;Сушку;Голодание;Отказ от углеводов;Кардио натощак;Растяжку;Сон по двенадцать часов;Приём витаминов
анатомия;Как называется желобок между носом и верхней губой;Фильтрум;Кантус;Гонион;Назион;Ментон;Трагус;Глабелла;Вермилион
анатомия;Как называется гладкий участок между бровями;Глабелла;Фильтрум;Назион;Гонион;Ментон;Трагус;Кантус;Вермилион
психология;Что описывает гало-эффект;Склонность приписывать привлекательным людям и другие достоинства;Ухудшение зрения при ярком свете;Эффект от яркого макияжа;Свечение кожи после ухода;Иллюзию роста при определённой одежде;Реакцию зрачка на свет;Обман зрения при симметрии;Влияние музыки на настроение
тикток;Что означает суффикс «-maxxing» в интернет-сленге?;Довести характеристику до максимума;Замаскировать недостаток;Оформить премиум-подписку;Устроить флешмоб;Купить товар по акции;Сделать репост тренда;Подписаться на блогера;Записать сторис
тикток;Где зародился термин looksmaxxing?;На инцел-форумах середины 2010-х;В журнале Vogue;На YouTube-канале дерматолога;В твиттере знаменитостей;В корейских бьюти-блогах;На форумах бодибилдеров;В научном журнале по дерматологии;На конференции косметологов
тикток;Когда тренд получил особенно широкий резонанс в СМИ?;Конец 2023 – начало 2024;2010;2016;2021;2018;2025;2012;2008
тикток;Что такое mewing?;Техника удержания языка у нёба для коррекции формы лица;Растяжка шеи;Массаж скул руками;Диета для похудения лица;Упражнение для зрения;Дыхательная практика для сна;Техника чтения по губам;Метод отбеливания зубов
тикток;Что такое hunter eyes?;Миндалевидные глаза с прищуром, которые пытаются сымитировать;Контактные линзы «кошачий глаз»;Техника smokey eyes;Упражнение для зрения;Форма бровей вразлёт;Накладные ресницы;Тип оправы очков;Макияж для узких глаз
тикток;Что такое positive canthal tilt?;Уголки глаз направлены вверх;Уголки глаз опущены вниз;Расстояние между бровями;Форма носа;Толщина верхнего века;Цвет радужки;Длина ресниц;Ширина переносицы
тикток;Термин mogging означает:;Выглядеть эффектнее рядом с менее привлекательным человеком;Делать зарядку по утрам;Наносить тональный крем;Фотографировать себя в зеркале;Копировать чужой стиль;Разыгрывать друга;Побеждать в споре;Выкладывать сторис с тренировки
тикток;Softmaxxing — это:;Безопасные, стандартные способы улучшить внешность;Пластическая операция;Голодание;Хирургия челюсти;Инъекции без назначения врача;Бонсмэшинг;Отказ от сна;Приём БАДов без консультации
тикток;Hardmaxxing обычно подразумевает:;Более радикальные меры вплоть до хирургии;Только уход за кожей;Медитацию;Смену причёски;Регулярный сон;SPF-крем;Силовые тренировки;Гигиену полости рта
тикток;Что такое starvemaxxing и почему это тревожный термин?;Голодание ради худого лица — по сути замаскированная анорексия;Диета с высоким содержанием белка;Интервальное голодание 16/8;Отказ от сахара;Вегетарианство;Разгрузочный день раз в неделю;Отказ от алкоголя;Подсчёт калорий
тикток;Sleepmaxxing включает:;Магний, ленту для рта, очки с красным светом ради сна;Энергетики перед сном;Ночные тренировки;Безрецептурное снотворное;Дневной сон по 3 часа;Отказ от сна ради продуктивности;Кофеин на ночь;Ночные смены на работе
тикток;Что такое гуаша (gua sha)?;Массажный инструмент из камня для лица;Корейская тканевая маска;Кислотный пилинг;Прибор для микротоков;Роликовый массажёр для тела;Щётка для чистки лица;Патчи под глаза;Спрей-мист для лица
тикток;Что делает ретинол в уходе за кожей?;Стимулирует обновление клеток, борется с морщинами;Отбеливает зубы;Укрепляет ногти;Снимает боль в горле;Осветляет пигментные пятна за один день;Заменяет солнцезащитный крем;Увлажняет глубже гиалуроновой кислоты;Действует как антибиотик
тикток;Зачем нужен SPF в ежедневном уходе?;Защита от УФ-излучения и фотостарения;Увлажнение;Устранение прыщей;Сужение пор;Отбеливание кожи;Ускорение загара;Защита от ветра;Питание кожи витаминами
тикток;Что такое skin cycling?;Чередование активных средств и дней восстановления кожи;Ежедневное умывание холодной водой;Смена крема каждый месяц;Круговые массажные движения;Смена бренда каждый сезон;Ежедневная смена типа пилинга;Чередование макияжа и дня без него;Ротация солнцезащитных кремов
тикток;Double cleansing — это:;Двухэтапное очищение: масло/бальзам + пенка;Умывание дважды в день;Скраб и пилинг одновременно;Использование двух разных брендов;Умывание горячей и холодной водой по очереди;Двойной слой тонального крема;Очищение лица и тела одним средством;Умывание мицеллярной водой дважды
тикток;Ice rolling используют для:;Снятия отёков и временного сужения пор;Отбеливания кожи;Удаления волос;Загара;Разглаживания морщин навсегда;Лечения акне антибиотиками;Замены клинической криотерапии;Ускорения роста ресниц
тикток;Что обещают jawline exercises?;Более чёткую линию челюсти за счёт мышц лица (эффект спорный);Рост зубов;Изменение формы черепа;Улучшение слуха;Устранение двойного подбородка навсегда;Замену хирургии подбородка;Ускорение роста бороды;Улучшение дикции
тикток;Термин gymmaxxing описывает:;Улучшение внешности через тренировки и набор мышечной массы;Йогу для лица;Растяжку перед сном;Редкие пробежки;Отказ от спорта в пользу диеты;Только кардио без силовых;Растяжку суставов;Дыхательные практики
тикток;Dripmaxxing относится к:;Улучшению стиля одежды и образа;Уходу за волосами;Диете;Осанке;Макияжу;Парфюму;Причёске;Маникюру
тикток;Hairmaxxing обычно включает:;Миноксидил, пересадку волос, уход за кожей головы;Только смену шампуня;Окрашивание;Плетение кос;Кератиновое выпрямление;Наращивание волос;Массаж головы раз в год;Стрижку каждый месяц
тикток;Smilemaxxing фокусируется на:;Отбеливании и выравнивании зубов (виниры, брекеты);Мимических упражнениях;Массаже дёсен;Жевательной резинке;Отбеливающей пасте без ограничений;Пирсинге языка;Логопедических упражнениях;Зубной нити раз в месяц
тикток;Posturemaxxing — это работа над:;Осанкой;Мимикой;Голосом;Дыханием;Хирургической растяжкой позвоночника;Ортопедическими стельками;Массажем спины раз в год;Плаванием
тикток;Что означает PSL в жаргоне looksmaxxing?;Псевдо-шкала оценки внешности (Physical Shape Level);Personal Style Level;Public Speaking Level;Product Safety List;Personal Skincare Log;Physical Strength Level;Public Social Life;Photo Style Layer
тикток;Что означает «sub5» в этом сообществе?;Мужчину, считающего себя непривлекательным по шкале до 10;Возрастную группу до 5 лет;Уровень сложности упражнения;Категорию товара;Тип телосложения;Ранг в видеоигре;Размер одежды;Уровень активности в соцсети
тикток;Что такое bonesmashing и чем оно опасно?;Псевдонаучная практика ударов по лицу твёрдыми предметами «для роста костей» — реального эффекта нет, есть риск травм;Массаж скул;Упражнение с эспандером для челюсти;Криотерапия лица;Точечный массаж лица;Разминка перед тренировкой;Техника контурного массажа;Упражнение для укрепления шеи
